Date/Time,CORNER_CLASS_1_POD_1_ZN_1_FLR_1:Zone Mean Air Temperature [C](Hourly),MULT_CLASS_1_POD_1_ZN_1_FLR_1:Zone Mean Air Temperature [C](Hourly),CORRIDOR_POD_1_ZN_1_FLR_1:Zone Mean Air Temperature [C](Hourly),CORNER_CLASS_2_POD_1_ZN_1_FLR_1:Zone Mean Air Temperature [C](Hourly),MULT_CLASS_2_POD_1_ZN_1_FLR_1:Zone Mean Air Temperature [C](Hourly),CORNER_CLASS_1_POD_1_ZN_1_FLR_1_LOTEMP:Zone Radiant HVAC Pump Electric Power [W](Hourly),MULT_CLASS_1_POD_1_ZN_1_FLR_1_LOTEMP:Zone Radiant HVAC Pump Electric Power [W](Hourly),CORRIDOR_POD_1_ZN_1_FLR_1_LOTEMP:Zone Radiant HVAC Pump Electric Power [W](Hourly),CORNER_CLASS_2_POD_1_ZN_1_FLR_1_LOTEMP:Zone Radiant HVAC Pump Electric Power [W](Hourly),MULT_CLASS_2_POD_1_ZN_1_FLR_1_LOTEMP:Zone Radiant HVAC Pump Electric Power [W](Hourly),HP_RADSYS:Heat Pump Electric Power [W](Hourly),HOT WATER LOOP HW SUPPLY PUMP2:Pump Electric Energy [J](Hourly) 
 01/03  21:00:00,21.714098655485246,21.746648973725635,21.829249745953807,21.676046053890454,21.730262353795284,100.0,100.0,100.0,100.0,100.0,6193.590324656284,2762652.719044462 
 01/03  22:00:00,21.48931946023718,21.600813877188178,22.22287924959827,21.438512056264505,21.54946502321433,100.0,100.0,10.0,100.0,100.0,5838.2501305208729,2762652.719044462 
 01/03  23:00:00,21.513480514266598,21.613668232575,22.27397225539318,21.446279423508618,21.52864427558165,100.0,100.0,0.0,100.0,100.0,5499.476269081153,2762652.719044462 
 01/03  24:00:00,21.65089258494579,21.74647931776864,22.245372488991035,21.573780379276877,21.635710480620639,100.0,100.0,0.0,100.0,100.0,4923.201264895084,2762652.719044462 
 01/04  01:00:00,21.794127180134134,21.89044170577653,22.2330893591165,21.714556946099039,21.764642712786658,100.0,100.0,0.0,100.0,100.0,4416.263981176973,2762652.719044462 
 01/04  02:00:00,21.996580048369,22.056591822418015,22.234635204235443,21.919102642050285,21.946474459030207,40.0,0.0,0.0,100.0,100.0,2043.1973975969273,2762652.719044462 
 01/04  03:00:00,21.888233639112387,21.954391947702225,22.207582738637436,21.898755534967547,21.969425173939919,100.0,65.0,0.0,100.0,85.0,3100.990218869252,2762652.719044462 
 01/04  04:00:00,21.72670666636653,21.835202849239925,22.138083564672717,21.75878234688105,21.89407154470497,100.0,100.0,0.0,100.0,100.0,4129.3752920916,2762652.719044462 
 01/04  05:00:00,21.67612620934143,21.83416985728521,22.072386444203059,21.70481871236418,21.885789210334634,100.0,100.0,0.0,100.0,100.0,4095.315279229125,2762652.719044462 
 01/04  06:00:00,21.610466481371068,21.828922940505107,22.0104572717879,21.62419094176282,21.858087001811155,100.0,100.0,30.0,100.0,100.0,4182.546723336359,2762652.719044462 
 01/04  07:00:00,21.59588296826729,21.848306424120943,22.00345674022187,21.58766262207921,21.847890861079244,100.0,100.0,55.0,100.0,100.0,4248.963834304143,2762652.719044462 
 01/04  08:00:00,22.048708761967565,22.01743866287716,21.72135728208003,22.011019418350278,22.001568933705746,25.0,30.0,96.66666666666666,30.0,35.0,1678.3081371172107,2762652.719044462 
 01/04  09:00:00,23.745021203415115,23.75263432020128,22.01151425209529,23.7086714899914,23.728740627370969,85.0,86.66666666666666,50.0,85.0,86.66666666666666,328.6565078590802,1381326.359522231 
 01/04  10:00:00,23.999736209115907,24.396668828712899,22.438405297965326,23.99971567168136,23.99970408507961,100.0,100.0,0.0,100.0,100.0,0.0,0.0 
 01/04  11:00:00,23.999593342769239,24.809095809567375,22.718590899570576,23.99948181705455,23.999525936039754,100.0,100.0,0.0,100.0,100.0,0.0,0.0 
 01/04  12:00:00,23.99950377405029,25.007913632850824,22.893790642858759,23.999430146207304,23.99948175838976,100.0,100.0,0.0,100.0,100.0,0.0,0.0 
 01/04  13:00:00,23.999469021362957,25.05442050278316,23.006907772798237,23.99470252941078,23.99946410317508,100.0,100.0,60.0,100.0,100.0,0.0,0.0 
 01/04  14:00:00,23.999397112600314,24.830302061960219,22.99332499486827,23.939750724151407,23.99944990788709,100.0,100.0,50.0,100.0,100.0,0.0,0.0 
 01/04  15:00:00,23.999447559794708,24.68883156669185,22.943057592963645,23.905328186809486,23.999439119095265,100.0,100.0,0.0,100.0,100.0,0.0,0.0 
 01/04  16:00:00,23.999418917473816,24.339192292581708,22.875912005931487,23.72316328047769,23.999500538039287,100.0,100.0,0.0,100.0,100.0,0.0,0.0 
 01/04  17:00:00,22.729549267167007,23.466461207829437,22.57450933569067,22.115323329064588,22.880707345394666,30.0,100.0,0.0,65.0,35.0,317.92363775441586,1381326.359522231 
 01/04  18:00:00,21.33247855916163,22.18698967739139,22.019679772030146,20.887541855933188,21.635513973071875,90.0,45.0,45.0,100.0,80.0,5030.053253998057,2762652.719044462 
 01/04  19:00:00,20.89125299974311,21.590833883588127,21.67508518015597,20.619409674751247,21.185856516855155,100.0,100.0,100.0,100.0,100.0,8171.9212232873519,2762652.719044462 
 01/04  20:00:00,20.993603074945307,21.4941874463364,21.58064244187893,20.79978306725443,21.198331022736594,100.0,100.0,100.0,100.0,100.0,7746.61326817727,2762652.719044462 
 01/04  21:00:00,21.17320153017762,21.539676752236934,21.585451193937695,21.01485064312924,21.292669917431306,100.0,100.0,100.0,100.0,100.0,7052.053794310166,2762652.719044462 
 01/04  22:00:00,20.823660338286815,21.355898145078574,22.066159237132078,20.67715229507062,21.11364320658849,100.0,100.0,25.0,100.0,100.0,6781.8145221798599,2762652.719044462 
 01/04  23:00:00,20.944006498018049,21.406555067229794,22.143275760675797,20.80240707499648,21.17410896741537,100.0,100.0,0.0,100.0,100.0,6189.209183834368,2762652.719044462 
 01/04  24:00:00,21.142556569709865,21.528379519478084,22.097872412837086,21.00694534078388,21.307432726154805,100.0,100.0,0.0,100.0,100.0,5519.851151941272,2762652.719044462 
 01/05  01:00:00,21.18137580405287,21.560083937789586,22.043386447299754,21.053453324300546,21.34968331604056,100.0,100.0,0.0,100.0,100.0,5244.236399101192,2762652.719044462 
 01/05  02:00:00,21.304904980323827,21.647545650381699,22.003520228618407,21.183255238132938,21.445788030620343,100.0,100.0,40.0,100.0,100.0,5043.7169564462169,2762652.719044462 
 01/05  03:00:00,21.506311761943324,21.803561300381934,22.007782721838898,21.391993815579974,21.61119762290137,100.0,100.0,25.0,100.0,100.0,4380.464121923327,2762652.719044462 
 01/05  04:00:00,21.560387282029674,21.857702912673028,22.010217568576875,21.454701124607174,21.6759182048962,100.0,100.0,45.0,100.0,100.0,4271.937070233316,2762652.719044462 
 01/05  05:00:00,21.683385191500759,21.96580287171408,22.02398733568277,21.586230645115984,21.795006057103515,100.0,100.0,0.0,100.0,100.0,3664.2689012873186,2762652.719044462 
 01/05  06:00:00,21.614437431697977,21.93900323056517,21.99519932437761,21.52449841781715,21.778267639589445,100.0,100.0,75.0,100.0,100.0,4119.2304361457959,2762652.719044462 
 01/05  07:00:00,21.597609793196317,21.94711606213505,22.004623037005456,21.512838961127824,21.794901959182938,100.0,100.0,30.0,100.0,100.0,3776.818213776406,2762652.719044462 
 01/05  08:00:00,21.7698741079712,21.87509984073176,21.603188371493315,21.689929580941187,21.751190193272519,100.0,100.0,100.0,100.0,100.0,4240.774129033327,2762652.719044462 
 01/05  09:00:00,23.6616436261417,23.708536070531176,21.858291881698798,23.536405770749444,23.639618077998585,88.33333333333333,88.33333333333333,80.0,88.33333333333333,88.33333333333333,549.6932102856954,2210122.1752355697 
 01/05  10:00:00,23.999724203240615,24.049349111217,22.28731293604557,23.970106067803486,23.999712400015736,100.0,100.0,0.0,100.0,100.0,0.0,0.0 
 01/05  11:00:00,23.999560486944753,24.39661560202334,22.55385754539517,23.930969114829034,23.99951334683833,100.0,100.0,0.0,100.0,100.0,0.0,0.0 
 01/05  12:00:00,23.99950829592313,24.799394180252585,22.76268239749289,23.848115885578176,23.9994436678045,100.0,100.0,0.0,100.0,100.0,0.0,0.0 
 01/05  13:00:00,23.999477738489646,25.092503655152805,22.94245085069607,23.765800480543996,23.999410608999,100.0,100.0,0.0,100.0,100.0,0.0,0.0 
 01/05  14:00:00,23.99945395730034,25.141508754396378,23.027651349167063,23.620061903432974,23.999400299509309,100.0,100.0,100.0,100.0,100.0,0.0,0.0 
 01/05  15:00:00,23.99943860712102,24.95406842727801,23.017428216201489,23.689115557244955,23.999402365301238,100.0,100.0,80.0,100.0,100.0,0.0,0.0 
 01/05  16:00:00,23.999361575241033,24.493589766145566,22.88843401045798,23.620571265085564,23.999463033385227,100.0,100.0,0.0,100.0,100.0,0.0,0.0 
 01/05  17:00:00,22.938545102703736,23.63341355906345,22.563375490696733,22.031444632765408,22.777561509743259,45.0,100.0,0.0,70.0,35.0,300.14207781077956,1519458.995474454 
 01/05  18:00:00,21.34642581333734,22.29277986226862,21.921816752213549,20.638656525266688,21.394567350078533,85.0,35.0,60.0,100.0,90.0,5255.941772274309,2762652.719044462 
 01/05  19:00:00,20.823731536690837,21.615177865864376,21.533001508821678,20.401567891827317,20.964761407485427,100.0,100.0,100.0,100.0,100.0,8344.67276078059,2762652.719044462 
 01/05  20:00:00,20.912539639579994,21.50900019270133,21.424072021719814,20.616771962731307,21.01774049927468,100.0,100.0,100.0,100.0,100.0,7861.342344531928,2762652.719044462 
 01/05  21:00:00,21.073443774833434,21.534445423294338,21.43099602559976,20.8457744984829,21.128734679132916,100.0,100.0,100.0,100.0,100.0,7222.601398266879,2762652.719044462 
 01/05  22:00:00,21.10352940296248,21.622517542486539,21.996383750746696,20.900232022465539,21.235777484144884,100.0,100.0,40.0,100.0,100.0,6243.256655019718,2762652.719044462 
 01/05  23:00:00,21.32213346114938,21.752161255434904,22.123847756483629,21.144220366124779,21.403691061433297,100.0,100.0,0.0,100.0,100.0,5276.818293033277,2762652.719044462 
 01/05  24:00:00,21.466574212721207,21.826293057965779,22.090681353056909,21.309989627846613,21.517859555283104,100.0,100.0,0.0,100.0,100.0,4843.229612437279,2762652.719044462 
 01/06  01:00:00,21.67793635460881,21.958519637150404,22.058009916628284,21.540411608237649,21.683925983977639,100.0,100.0,0.0,100.0,100.0,4253.066399187529,2762652.719044462 
 01/06  02:00:00,21.88984203742019,22.081623714612819,22.023548420871128,21.769194816846939,21.854886673291508,80.0,15.0,0.0,100.0,100.0,2446.6835173525466,2762652.719044462 
 01/06  03:00:00,21.97767530928614,22.08375127600571,21.987762151010157,21.922595692753445,21.979676790437745,45.0,15.0,70.0,80.0,50.0,1695.4912049282473,2210122.1752355697 
 01/06  04:00:00,21.702953028193784,21.86107209164789,21.993855637321034,21.712305023277009,21.848590317247525,100.0,100.0,70.0,100.0,100.0,4431.096518329019,2762652.719044462 
 01/06  05:00:00,21.677513466151575,21.860388628285557,22.00405425405291,21.67065458512826,21.843999771309389,100.0,100.0,30.0,100.0,100.0,4155.272498099909,2762652.719044462 
 01/06  06:00:00,21.714104312015825,21.915317813603804,22.008662649938736,21.69261252383766,21.88427855056502,100.0,100.0,35.0,100.0,100.0,4013.2532352998075,2762652.719044462 
 01/06  07:00:00,21.86534177941473,22.035745427009695,22.013794526208735,21.831262543005818,22.000035109332118,100.0,25.0,0.0,100.0,55.0,1843.2144719612584,2762652.719044462 
 01/06  08:00:00,21.76321799641374,21.719275658762464,21.532155519297917,21.69579385977565,21.703840112144716,100.0,92.5,98.33333333333333,100.0,92.5,4451.407582589875,2762652.719044462 
 01/06  09:00:00,23.679983678392479,23.68084582707693,21.824689672010348,23.477711895281236,23.5789207830819,88.33333333333333,88.33333333333333,80.0,90.0,90.0,621.0444576983334,2210122.1752355697 
 01/06  10:00:00,23.999714283917485,24.39136885988221,22.35142699465173,23.997652160125786,23.999649716197518,100.0,100.0,0.0,100.0,100.0,0.0,0.0 
 01/06  11:00:00,23.999574665252408,25.041079262902519,22.734074994150725,23.99942069524707,23.99948001929323,100.0,100.0,0.0,100.0,100.0,0.0,0.0 
 01/06  12:00:00,23.99950048328948,25.310882149189557,22.9980625458128,23.99940120688273,23.999463079566877,100.0,100.0,50.0,100.0,100.0,0.0,0.0 
 01/06  13:00:00,23.999437279348628,25.239181409519863,23.06636686936421,23.999171534345707,23.999441397111853,100.0,100.0,100.0,100.0,100.0,0.0,0.0 
 01/06  14:00:00,23.999677387050605,25.39605781046294,23.022131793641017,23.913973518400593,23.99944363200184,100.0,100.0,100.0,100.0,100.0,0.0,0.0 
 01/06  15:00:00,24.106206414612953,25.381153781956816,23.04749335294291,23.984754929499937,23.999433578412238,100.0,100.0,100.0,100.0,100.0,0.0,0.0 
 01/06  16:00:00,24.026251583348324,25.01699320464217,22.979700845199014,23.998932327868,23.999494935967108,100.0,100.0,45.0,100.0,100.0,0.0,0.0 
 01/06  17:00:00,23.40521194856289,23.96021921249798,22.652558250721456,22.533619710657065,22.983358268487448,85.0,100.0,0.0,30.0,40.0,0.0,138132.6359522231 
 01/06  18:00:00,21.837683972977965,22.734542312070717,21.992741580272737,21.079602769320265,21.746133441134924,65.0,30.0,50.0,100.0,75.0,3446.8062286189867,2762652.719044462 
 01/06  19:00:00,21.181742677159105,21.987491565431794,21.560321058134958,20.671000405703916,21.26390909240774,100.0,50.0,100.0,100.0,100.0,6553.99549546919,2762652.719044462 
 01/06  20:00:00,21.150842887702305,21.7464585842509,21.437037362482216,20.81786868864811,21.262765075644198,100.0,100.0,100.0,100.0,100.0,7518.525020220368,2762652.719044462 
 01/06  21:00:00,21.328122264836677,21.746365508151024,21.45517349558655,21.085226695991275,21.39487595877437,100.0,100.0,100.0,100.0,100.0,6827.758202193962,2762652.719044462 
 01/06  22:00:00,21.30718480100382,21.750798490494114,21.912036615026574,21.101173469937984,21.437093496583729,100.0,100.0,60.0,100.0,100.0,6107.225216544807,2762652.719044462 
 01/06  23:00:00,21.361514082357723,21.759259772384366,22.071574357021384,21.187342280631975,21.483575442103544,100.0,100.0,0.0,100.0,100.0,5386.635475209978,2762652.719044462 
 01/06  24:00:00,21.565229732071086,21.87669672360314,22.052580210615678,21.417025804401939,21.63537957944518,100.0,100.0,0.0,100.0,100.0,4748.332074954511,2762652.719044462 
 01/07  01:00:00,21.67331119822864,21.94795190383564,22.022649691815368,21.54505228289926,21.733283435862018,100.0,100.0,0.0,100.0,100.0,4335.144262793371,2762652.719044462 
 01/07  02:00:00,21.710192759509824,21.984810194810316,21.99776970279677,21.597698545240968,21.791010561435465,100.0,100.0,65.0,100.0,100.0,4373.328857683451,2762652.719044462 
 01/07  03:00:00,21.679685711035867,21.97965223236902,22.023724714404385,21.57993262903789,21.80283901397205,100.0,100.0,0.0,100.0,100.0,4007.823049540134,2762652.719044462 
